organism_category,n_cohort_hospitalizations
staphylococcus_aureus,392
pseudomonas_aeruginosa,196
legionella_sp,169
candida_albicans,165
klebsiella_pneumoniae,93
streptococcus_pneumoniae,82
haemophilus_influenzae,69
fungus_other,62
escherichia_coli,57
acinetobacter_baumanii,41
stenotrophomonas_maltophilia,39
proteus_mirabilis,35
serratia_marcescens,34
candida_glabrata,31
serratia_sp,28
moraxella_catarrhalis,24
candida_tropicalis,22
enterobacter_sp,21
enterobacter_cloacae,19
achromobacter_xylosoxidans,15
klebsiella_aerogenes,14
candida_dubliniensis,13
aspergillus_fumigatus,12
gram_negative_rod,12
aspergillus_niger,11
candida_krusei,8
penicillium_sp,7
haemophilus_haemolyticus,6
morganella_morganii,6
streptcoccus_agalactiae,6
candida_lusitaniae,5
citrobacter_freundii,5
citrobacter_koseri,5
enterobacter_aerogenes,5
klebsiella_oxytoca,5
acinetobacter_pittii,4
aspergillus_flavus,4
mycobacterium_avium,4
neisseria_meningitidis,4
providencia_sp,4
streptococcus_agalactiae,4
aeromonas_sp,3
bordetella_bronchiseptica,3
proteus_vulgaris,3
providencia_stuartii,3
pseudallescheria_boydii,3
streptococcus_pyogenes,3
alcaligenes_faecalis,2
aspergillus_sp,2
candida_auris,2
gram_positive_rod,2
providencia_rettgeri,2
streptcoccus_pyogenes,2
acinetobacter_sp,1
aeromonas_sobria,1
arthrographis_sp,1
aspergillus_ochraceus,1
aureobasidium_sp,1
candida_guilliermondii,1
candida_nivariensis,1
candida_parapsilosis,1
candida_pararugosa,1
cladosporium_sp,1
cronobacter_malonaticus,1
cupriavidus_pauculus,1
dematiaceous_sp,1
elizabethkingia_meningoseptica,1
fusarium_sp,1
geotrichum_sp,1
klebsiella_sp,1
mucor_circinelloides,1
mycobacterium_abscessus,1
mycobacterium_chelonae,1
mycobacterium_fortuitum,1
mycobacterium_xenopi,1
myroides_sp,1
paecilomyces_sp,1
pantoea_agglomerans,1
pantoea_sp,1
pasteurella_sp,1
pseudomonas_fluorescens,1
pseudomonas_sp,1
pseudomonas_stutzeri,1
raoultella_ornithinolytica,1
rhizopus_sp,1
saccharomyces_cerevisiae,1
serratia_liquefaciens,1
yeast,1
